#net sta compBase lo la dep nameMode
hima3 15826 BH 113.235 40.52122 1270.0 hima23
hima3 15817 BH 112.08073 40.51097 1272.0 hima23
hima3 14871 BH 111.18214 36.43834 1187.0 hima23
hima3 14874 BH 112.3316 36.446439999999996 1106.0 hima23
hima3 14880 BH 112.44042999999999 36.321 1053.0 hima23
hima3 14894 BH 112.59581 35.4559 863.0 hima23
hima3 14841 BH 111.19994000000001 38.19924 1446.0 hima23
hima3 14885 BH 112.05459 36.00602 1193.0 hima23
hima3 14892 BH 112.07745999999999 35.442190000000004 1045.0 hima23
hima3 14893 BH 112.33581 35.45417 662.0 hima23
hima3 14895 BH 110.42455 35.20879 666.0 hima23
hima3 14896 BH 111.15946 35.26335 602.0 hima23
hima3 14897 BH 111.41599000000001 35.29639 794.0 hima23
hima3 14899 BH 112.42392 35.24119 773.0 hima23
hima3 14900 BH 110.46193 34.44257 589.0 hima23
hima3 14901 BH 110.52691 35.07832 396.0 hima23
hima3 14902 BH 111.43529000000001 35.0856 649.0 hima23
hima3 14903 BH 110.25138999999999 34.496610000000004 489.0 hima23
hima3 14904 BH 110.28592 35.07538 510.0 hima23
hima3 14863 BH 110.27515 37.00415 884.0 hima23
hima3 14840 BH 110.54491 38.18307 1030.0 hima23
hima3 14842 BH 111.43495999999999 38.19094 1210.0 hima23
hima3 14843 BH 110.53334999999998 37.59995 1184.0 hima23
hima3 14850 BH 110.53655 37.41641 873.0 hima23
hima3 14856 BH 110.5485 37.21265 885.0 hima23
hima3 13801 BH 114.13647 41.30047 1297.0 hima23
hima3 13802 BH 114.39168 41.31604 1375.0 hima23
hima3 13803 BH 115.04674999999999 41.31455 1387.0 hima23
hima3 13804 BH 114.15039 41.1225 1492.0 hima23
hima3 13805 BH 114.40947 41.121430000000004 1376.0 hima23
hima3 13807 BH 114.12483 40.51793 1105.0 hima23
hima3 13808 BH 114.38798000000001 40.52807 1064.0 hima23
hima3 13809 BH 114.37917999999999 40.33646 959.0 hima23
hima3 13811 BH 114.40572 40.14154 873.0 hima23
hima3 13812 BH 114.39389 39.55908 889.0 hima23
hima3 13813 BH 115.07356 39.567530000000005 1401.0 hima23
hima3 13814 BH 114.3883 39.353519999999996 1623.0 hima23
hima3 13815 BH 115.04377000000001 39.3686 750.0 hima23
hima3 13816 BH 114.40427 39.15579 1010.0 hima23
hima3 13817 BH 115.05036 39.17177 326.0 hima23
hima3 13818 BH 113.48008 38.56474 1083.0 hima23
hima3 13819 BH 114.12917999999999 38.58334 495.0 hima23
hima3 13820 BH 114.40355 38.568960000000004 285.0 hima23
hima3 13821 BH 113.48012 38.37138 855.0 hima23
hima3 13822 BH 114.13593 38.38143 319.0 hima23
hima3 13823 BH 114.38386 38.39531 143.0 hima23
hima3 13824 BH 115.07309 38.378299999999996 50.0 hima23
hima3 13825 BH 113.48479999999999 38.19571 281.0 hima23
hima3 13826 BH 115.04141 38.191990000000004 53.0 hima23
hima3 13827 BH 115.06788 38.01065 37.0 hima23
hima3 13828 BH 114.14632 37.40255 283.0 hima23
hima3 13829 BH 114.40072 37.40997 45.0 hima23
hima3 13830 BH 115.04725 37.42018 30.0 hima23
